作者,看板,標題,日期,內容
FaithPrice (信仰的價值),fruits,[新聞] 埔里百香果盛產期 產地辦評鑑北上搶市場,Mon Oct  2 09:51:58 2017,"http://news.ltn.com.tw/news/life/breakingnews/2209223

    埔里百香果盛產期 產地辦評鑑北上搶市場

    〔記者佟振國／南投報導〕

    2017南投百香果節暨全國百香果評鑑今天登場，除了全國最大百香果產地南投縣埔里
鎮的果農精銳盡出，今年也有台中、台南等外縣市的農友參賽，專業評審根據果實外觀、
果肉重量、糖度及口感風味等項目，選出今年的百香果王；縣府今、明2天也會在台北市
建國花市農業櫥窗辦理百香果展售活動，提供產地直送的優質水果，民眾可前往參觀選購
。

    百香果是埔里鎮最具特色的水果，栽種面積約400公頃，年產量1萬7500公噸，面積、
產量居全國之冠，埔里農會連續4年於百香果產期舉辦評鑑，透過競賽為品質把關，得獎
農民更添銷售火力。

    今年競賽除了埔里大坪頂專業區的果農，還有縣內水里、國姓鄉及台南永康、台中后
里的果農，135件參賽較去年大幅增加50件，農會特別聘請農委會台中區農業改良場、農
試所鳳山熱帶園藝試驗分所等專家、學者評鑑，以果實外觀、果粒與果肉重量、糖度及實
測口感風味，將選出冠軍1名、亞軍2名、季軍3名及優選14名，評鑑結果明天出爐。

    主評李文立表示，今年參賽產品整體品質較去年提升，外觀色澤均勻，紫黑透亮為優
，果粒與果肉配比佳，有料才能物超所值，加上口感酸甜適中，才是上品。

    埔里農會總幹事何世鴻指出，評鑑結果明天出爐，冠軍將有2萬元獎金，農會也將公
開拍賣20件得獎產品，所得將添購百香果苗株，送給有需要的民眾栽種。

    (自由 2017-09-30)

"
k0079 (彎手指),fruits,[廣宣] 南投竹山火龍果,Sun Aug 13 13:34:01 2017,"南投竹山鎮自產自銷小農，用心栽種的紅肉火龍果，吃起來清脆甜美多汁，冰後口感更是
絕佳，預計8/25前後採收，歡迎訂購

*自然鮮熟，不使用化學催熟*
*不使用除草劑，全程人工除草*
*堅持無農藥，使用有機肥料種植*
*早上採收，下午寄出，產地直送*

現售三種規格:

10斤/1箱(約10～12顆)，一箱700元

10斤/1箱(約13～15顆)，一箱600元

10斤/1箱(約16～18顆)，一箱500元

以上規格一箱運費皆100元，兩箱以上(含兩箱)免運費，限同一地址

臉書搜尋""葉媽媽超甜火龍果""
或加 LINE ID: elly760422 洽詢
或站內信皆可
謝謝

火龍果園照片
http://i.imgur.com/8hhjj48.jpg
http://i.imgur.com/NWZ7kYD.jpg

"
blus (ccc),fruits,[廣宣]鼻仔頭休閒農業區-假日農夫果樹認養活動,Mon Aug 14 20:59:06 2017,"彰化縣鼻仔頭休閒農業區-假日農夫果樹認養活動

指導單位：行政院農業委員會、彰化縣政府
主辦單位：彰化縣二水鄉公所、彰化縣二水鄉農會
承辦單位：彰化縣鼻仔頭休閒農業區發展協會
(臉書 https://www.facebook.com/BiZiTouLeisureArea/?fref=ts)
活動說明：
　　為推動食農教育舉辦假日農夫-果樹認養活動，帶領遊客深入二水農村，享受大自然新
鮮空氣，體驗參與栽種事項及作業方式、採果慶豐收，透過實地參與體驗研習，珍惜得來不
易的水果。透過都會區難得的農事體驗，讓遊客親自踏入泥土中，體驗農民耕作的辛勞，及
了解從事果樹栽種的流程，培養民眾對於土地及農耕的關懷。
    農民是土地的守護者，認養一顆屬於自己的果樹，沒有都市的喧擾煩躁，沒有都市生活
的緊湊，享受沒有人擠人的自然環境，果樹認養不僅是農事發展重要的一環，最重要的是讓
民眾體驗農民生活，一同感受採收的成就與喜悅，建立消費者信心，並且給予消費者保障。
    所以我們推廣【假日農夫-果樹認養活動】讓更多人可以親身參與了解，歡迎家庭、家
族、公司或社團來共同參與認養，讓我們從認識參與的過程，更懂得愛護環境與珍惜大地。
活動期程：
106年8月即日起-106年9月30日止“辦理認養報名及匯款事項”
106年10月7-28日（共四梯次）的『假日農夫-需租用』活動
106年10月7日（星期六）辦理到果園體驗參與栽種作業說明
106年10月15日（星期日）辦理掛牌週活動
106年10月21日（星期六）辦理果樹栽種事項（疏果、套袋、施肥..等）活動
106年10月28日（星期六）辦理參與栽種作業慶豐收活動
以上為主辦單位辦理的四次統一活動時間，早上9:00在火車站集合，提供腳踏車，需租用者
須先告知並預約（以果樹認養個人為限，不含親友團）
※歡迎果樹認養者到果園體驗參與栽種作業※   PS：但需事先與果農電話另行預約時間
報名網址: https://goo.gl/akbbwp
◆認 養 辦 法◆
【假日農夫-果樹認養數量與金額】
  (1)本活動預計開放登記認養的種類有白柚（每台斤40元）、西施柚（每台斤40元）、帝
     王柚（每台斤100元）、檸檬依時價（每台斤約40元）、芭樂依時價（每台斤約35元）
     、洛神葵（每台斤80元），認養數量以台斤為單位。
  (2)檸檬、芭樂、洛神葵，任一種果樹需認養金額新臺幣1,000元以上。
     (可與朋友共同認養，分享數量)
  (3)白柚、西施柚、帝王柚，任一種果樹認養需新臺幣2,000元以上。
     (可與朋友共同認養，分享數量)
認養期自掛牌為完成認養手續起至果品正常採收期結束為止。
【付款需知】
1.認養者請於登記後七日內，將認養費用以郵局匯票、現金袋或匯款方式匯入專戶。
2.匯款資料：收款行：彰化縣二水鄉農會（金融機構代號：643-0018 ）ATM轉帳代號643，
  帳號 64301-01-005463-6，戶名「彰化縣鼻仔頭休閒農業區發展協會」
3.認養者請將繳費收據(並註明人名金額)，一週內傳真或寄回：彰化縣二水鄉聖化村員集路
  三段678號，並在信封上註明「假日農夫-果樹認養活動」字樣，並以電話聯絡確認無誤後
  ，完成認養手續。（電話0935-674021；傳真04-8791316）
【收據開立】
認養果樹之金額收據，由果農開立可供報帳用之農民收據。
（如是公司名義認養請註明貴公司名稱、統一編號、地址）
認養者權益＆果農之工作項目：
【認養者權益】
1、經繳費認養後，可獲得認養資料袋乙份（資料袋內容：認養卡、認養管理規則、果農聯
絡資料、收據及相關資料），取得方式與承辦單位討論。
2、認養者依照活動辦法完成認養程序後，將擁有專屬假日農夫-果樹認養編號，讓認養者共
同參與果樹的成長和收成的喜悅。
3、認養者將獲得該果品約定金額之收成重量。
4、認養期間可體驗所安排的時間：
   106年10月7-28日（共四梯次）的『假日農夫-果樹認養』活動，並由果農指導，不克前
   來者將由果農代為管理。
5、認養者可於果園開放期間，來園休憩、體驗農事工作、駐足園區享受田園之樂，欲前來
   體驗者，請於三日前以電話告知果農，以便安排事宜，避免有招待不週而有怠慢之處。
6、果農之工作項目
   (1)由協會製作認養果樹之編號牌，並懸掛於果園中，以利辨認。
   (2)負責認養果樹之全期撫育管理工作。
   (3)果農依栽培管理作業，以電話通知認養者，請其前來採收作業。
7、認養者配合事項
    (1)認養者採果，應以一次採完認養所產之果品為原則。
      （如須分次採收，請與園主協商）
    (2)水果成熟採收期間，認養者如不便來場親自採摘，得以書面或電話通知果農，委託
       將果品採收後送達指定地點，果農得酌收相關費用(含工資、包裝材料費、運費..及
       其他相關之費用，其所需金額另行通知認養者)，並對所送達之果品不得有異議。
    (3)為維護採果區秩序，認養者應持「認養卡」入場，並於前三日與果農連繫，以利安
       排採果事宜，採果人數每次以不超過10人為宜。
    (4)認養者果樹之編號及坐落果園，由本活動主辦單位按認養序號編排，不得有異議。
      (如有需跟另外之認養者相約之需求，請於報名時告知，主辦單位將盡量安排，如未
       能如願敬請見諒)
    (5)認養者請自備包裝材料向果農或二水鄉農會購買。
8、果樹災害應變保障
       認養活動期間如遭遇不可抗拒之災害損失（例：寒害、颱風..等），將於取得政府
       相關單位核發之災害證明文件後，依下列災害處理條款處理：
    (1)果樹產量為0：
       如因不可抗拒之災害因素，導致認養之果樹產量為0，將扣除相關手續費用後（例：
       退費手續費..等相關費用），將認養金之差額退還認養者。
    (2)果農產量不足：
       如因不可抗拒之災害因素，導致認養果樹產量不足約定台斤數，將以鄰近地區所產
       水果，補足約定之台斤水果，配送給認養者（或選擇退款）。

"
pitaB (傻傻的b),fruits,[廣宣] 台南南化愛文芒果乾,Mon Aug 14 23:19:04 2017,"
沈媽愛文芒果乾300g 限量開賣只有130包

這是一款非常涮嘴、一片接一片的芒果乾

溼度和甜度都非常適中

口感可說大勝超市熱賣的知名芒果乾

吃了就可感覺滿口的天然味，自家烘培品管讚

製程不添加防腐劑唷

未開封的狀態下可以常溫存放3個月，開封後需冷藏

但是我想應該沒有冷藏很久的機會，太涮嘴了兩三口就梭哈了啦。

產地/臺灣南化   是個山明水秀不受污染的好地方

規格/300g/包    價格200元

蝦皮下單處
http://shopee.tw/dori815/409193229
pc下單處
http://seller.pcstore.com.tw/S120376375/C1134107159.htm

Line id :rabbiterin

"
home10314 (壹秀),fruits,[廣宣] 南投信義鄉-產銷履歷巨峰葡萄,Thu Aug 17 13:00:42 2017,"
品　　項：巨峰葡萄

產　　地：南投縣-信義鄉

價　　格：150元/500g(20包以下酌收150元運費，20包以上免運；台中地區可面交)

連 絡 人：戴先生
連絡方式：1.電話：0980-798-600(Line：0980798600)
　　　　　2.站內信
          3.FB訊息 https://www.facebook.com/Xianglehuofood/

雖然目前政府力推農產品產銷履歷驗證，但相較於市面上同樣的農產品而言，

具有產銷履歷驗證的價格往往高出許多，很多小農花了許多心思投入其中，

但價格偏高加以行銷上的不靈活，品質高端的產品常會乏人問津><

儘管價格偏高，但不得不說經產銷履歷驗證的農產品品質真的很好!!!!(大推

熱烈推薦喜愛吃水果的版友可以試試看!!(比較貴真的是有它的價值XD

"
pipi648 (圓圓),fruits,[廣宣] 無毒南瓜,Sun Aug 20 00:19:41 2017,"【產地來源】金山萬里#
【產品名稱】無毒南瓜
【重量規格】
【價格運費】一斤25元/運費自付
【交易方式】郵局包裹&自取
【付款方式】預先匯款
【賣家名稱】#郭爸爸の野菜園
【聯絡方式】0983000317/站內信
【商品介紹】
南瓜都是我爸爸用他雙手種的，常常也會有一些蟲害，但我爸爸說沒關係，牠們吃完我們
再吃就好了，那麼大一片也吃不了那麼多，爸爸說如果也解決這些鼠害勢必要用藥，用藥
就不好了。
各式各樣的南瓜是因為蜜蜂還有各式各樣的昆蟲自然授粉，用最自然的方式種出來的南瓜
最好了。

爸爸退休了，種菜給家人吃從來沒想過要賺錢，但是不小心南瓜大豐收了，歡迎大家購買
。
有需要的話可以跟我連絡 一斤25元(宅配的方式)、也可以到萬里現場購買喔^^。
http://i.imgur.com/aAY2DtX.jpg
http://i.imgur.com/IMdKM4H.jpg
http://i.imgur.com/DfQyVhe.jpg
http://i.imgur.com/LmiLoAG.jpg
http://i.imgur.com/BuBaXUe.jpg

"
SzuChien (台灣籃球之神阿三),fruits,[廣宣] 麻豆-林家小荳子文旦預購中(預購結束),Sun Aug 20 14:03:03 2017,"
結束預購

林家小荳子文旦產地在台南市麻豆區總爺附近，平均樹齡約50年左右，

文旦園平時皆以人工拔除雜草，從來不用除草劑，肥料則使用有機肥，

擁有吉園圃標章，代表不隨意噴灑過多農藥，農藥殘留量亦符合標準，

也由於老人家辛勤的照料，樹齡雖老但依然生氣蓬勃，

今年採收日期在九月初，

老欉文旦可耐久放，消水後更好吃。



在價格方面，皆為10斤裝(約12顆左右)

使用""大榮貨運""寄送(無夜間送貨)每箱含運NT　７００　元，

寄往同住址的單筆訂單三箱以上(含三箱)每箱優惠　６５０　元，



離島將以郵局寄送，不論數量含運價格 ７５０　元。



如需夜間到貨，

另提供""宅配通""寄送，本島寄送價格為每箱　７８０　元，

外島價格則為每箱　９００　元。



歡迎想要購買或進一步了解的人直接前往我們的粉絲團

林家小荳子文旦　　
https://www.facebook.com/madoupomelolin



"
gaiety888 (gaiety),fruits,[閒聊] 哪裡有賣白櫻桃,Mon Aug 21 08:28:52 2017,"前陣子

吃到朋友給的幾顆白櫻桃

好好吃

問了好多家水果行都沒有

市場裡還是看的到櫻桃

猜想櫻桃季節應該還沒過

請問哪裡買的到呀

用宅配的也沒關係

先謝謝大家了

"
shionchou (比達赨),fruits,[廣宣] 新化自家耕種芋頭,Tue Aug 22 22:23:03 2017,"(1) 商品名稱：新化自家芋頭(檳榔心芋頭)

(2) 商品數量：約剩500斤

(3) 商品價格：32/斤

購買時原價:自產自售

(4) 新舊狀況：全新

(5) 出售原因：十幾年經驗自家耕種品項
漂亮，煮起來綿綿鬆鬆

(6) 交易方式：新化.西港.南科面交
http://i.imgur.com/vd9z6tq.jpg
http://i.imgur.com/20p5VEU.jpg
http://i.imgur.com/3fWgQJN.jpg

"
ayulovemi (ayulovemi),fruits,[廣宣] 台南麻豆李家旺財文旦柚,Wed Aug 23 21:27:18 2017,"             已售完 已售完 已售完 已售完 已售完


 麻豆李家旺財文旦柚~~ 麻豆李家旺財文旦柚~~ 麻豆李家旺財文旦柚 ~~

            △▲△▲△▲△▲△▲△▲△▲△▲

          我們的文旦柚是30年的老欉，所以顧品質、不提前採收
　　　
　　　　　　      為的就是要讓您吃到

　　　     柚香、柚甜、柚多汁的文旦柚*^____^*

　　     　讓您 ~~ 柚子帶進門，招財柚進寶 ~~

　　　     送禮自用兩相宜 >(￣▽￣)<

＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊

  文旦柚相關訊息　請參閱粉絲團

  粉絲團： https://www.facebook.com/mdsale1980

＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
一箱10斤 (含運) $ 700
一箱10斤 (含運) $ 700
一箱10斤 (含運) $ 700
因大小顆重量不一，所以一箱內並沒固定數量喔！

一箱10斤 約8-14顆

"
migumeme (米辜妹妹),fruits,[新聞] 進入龍眼盛產期 太平警方設專案守護 ,Fri Aug 25 15:13:10 2017,"http://www.cna.com.tw/news/aloc/201708240230-1.aspx

進入龍眼盛產期 太平警方設專案守護

（中央社記者蘇木春台中24日電）正值台中太平地區龍眼盛產期，近年來龍眼因產量下降
、價格上揚，台中太平警分局成立「護龍眼專案」，由警方與守望相助隊共同聯防巡邏，
守護農民辛苦耕種的結晶。

太平地區龍眼進入盛產期，隨處可見結實纍纍的龍眼掛在樹上，相關產品如龍眼乾、龍眼
蜜也將陸續推出。近年龍眼產量飽受天氣變遷、椿象蟲害、蜜蜂減少等影響，導致產量略
減，市面上龍眼每台斤約新台幣30到40元。

台中太平警分局頭汴派出所長洪志仁今天受訪時表示，警方為維護農民辛苦成果，加強執
行「護龍眼專案」勤務，結合坪林、宏龍、頭汴派出所及各守望相助隊共同聯防巡邏，以
深夜至凌晨時段為主，加強防竊。

近日一群來自中部各大學的學生志工，利用暑假期間在頭汴里活動中心，舉辦關懷山區高
齡老人、偏鄉國小英文教學活動。志工也在課後體驗採果，見警方不時前往巡邏，也感謝
警察辛勞。

洪志仁表示，龍眼盛產期間，警方已針對山區產地、集散地、合作社等處所加強重點巡簽
，希望能讓果農安心收成，享受辛勞的成果。1060824

"
